MovieId,MovieName,Year,Genres,Artists
149,Chak De! India,2007,Drama|Family|Sport,Shah Rukh Khan|Vidya Malvade|Sagarika Ghatge|Shilpa Shukla
150,There Will Be Blood,2007,Drama,Daniel Day-Lewis|Paul Dano|Ciarán Hinds|Martin Stringer
151,Pan's Labyrinth,2006,Drama|Fantasy|War,Ivana Baquero|Ariadna Gil|Sergi López|Maribel Verdú
152,Toy Story 3,2010,Animation|Adventure|Comedy,Tom Hanks|Tim Allen|Joan Cusack|Ned Beatty
153,V for Vendetta,2005,Action|Drama|Sci-Fi,Hugo Weaving|Natalie Portman|Rupert Graves|Stephen Rea
154,Rang De Basanti,2006,Comedy|Crime|Drama,Aamir Khan|Soha Ali Khan|Siddharth|Sharman Joshi
155,Black,2005,Drama,Amitabh Bachchan|Rani Mukerji|Shernaz Patel|Ayesha Kapoor
156,Batman Begins,2005,Action|Adventure,Christian Bale|Michael Caine|Ken Watanabe|Liam Neeson
157,"Swades: We, the People",2004,Drama,Shah Rukh Khan|Gayatri Joshi|Kishori Ballal|Smit Sheth
158,Der Untergang,2004,Biography|Drama|History,Bruno Ganz|Alexandra Maria Lara|Ulrich Matthes|Juliane Köhler
159,Hauru no ugoku shiro,2004,Animation|Adventure|Family,Chieko Baishô|Takuya Kimura|Tatsuya Gashûin|Akihiro Miwa
160,A Beautiful Mind,2001,Biography|Drama,Russell Crowe|Ed Harris|Jennifer Connelly|Christopher Plummer
161,Hera Pheri,2000,Action|Comedy|Crime,Akshay Kumar|Sunil Shetty|Paresh Rawal|Tabu
162,"Lock, Stock and Two Smoking Barrels",1998,Action|Comedy|Crime,Jason Flemyng|Dexter Fletcher|Nick Moran|Jason Statham
163,L.A. Confidential,1997,Crime|Drama|Mystery,Kevin Spacey|Russell Crowe|Guy Pearce|Kim Basinger
164,Eskiya,1996,Crime|Drama|Thriller,Sener Sen|Ugur Yücel|Sermin Hürmeriç|Yesim Salkim
165,Heat,1995,Crime|Drama|Thriller,Al Pacino|Robert De Niro|Val Kilmer|Jon Voight
166,Casino,1995,Crime|Drama,Robert De Niro|Sharon Stone|Joe Pesci|James Woods
167,Andaz Apna Apna,1994,Action|Comedy|Romance,Aamir Khan|Salman Khan|Raveena Tandon|Karisma Kapoor
168,Unforgiven,1992,Drama|Western,Clint Eastwood|Gene Hackman|Morgan Freeman|Richard Harris
169,Ind Jones Last Crusade,1989,Action|Adventure,Harrison Ford|Sean Connery|Alison Doody|Denholm Elliott
170,Dom za vesanje,1988,Comedy|Crime|Drama,Davor Dujmovic|Bora Todorovic|Ljubica Adzovic|Husnija Hasimovic
171,Tonari no Totoro,1988,Animation|Family|Fantasy,Hitoshi Takagi|Noriko Hidaka|Chika Sakamoto|Shigesato Itoi
172,Die Hard,1988,Action|Thriller,Bruce Willis|Alan Rickman|Bonnie Bedelia|Reginald VelJohnson
